subid,stress_cond,env,trial_time,reaction_time,reward
31730_prestress,pre,short,0.0,1094.0,6.862793930963337
31730_prestress,pre,short,11233.907954709139,1283.0,6.315537738137891
31730_prestress,pre,short,19343.88675700211,1198.0,5.592620936061411
31730_prestress,pre,short,27910.864160074198,1163.0,4.974893974570256
31730_prestress,pre,short,35838.92824778013,1234.0,4.362309180873728
31730_prestress,pre,short,43162.509293253606,1970.0,3.869138049270292
31730_prestress,pre,short,51414.50324444122,1503.0,3.2611658580944427
31730_prestress,pre,short,59129.250700993,1267.0,2.831009004633267
31730_prestress,pre,short,66584.0406477655,954.0,6.948428836784742
31730_prestress,pre,short,103138.2251602463,901.0,6.259724784967287
31730_prestress,pre,short,110711.74082703328,581.0,5.924912360689216
31730_prestress,pre,short,117490.80431981201,480.0,5.3094617198776355
31730_prestress,pre,short,125324.78630452715,997.0,4.66543448879323
31730_prestress,pre,short,132950.16484909866,747.0,3.9332649665301314
31730_prestress,pre,short,140373.91631369974,448.0,3.8568773804340286
31730_prestress,pre,short,147510.7817552762,962.0,3.7046160834160236
31730_prestress,pre,short,155044.9769811712,828.0,3.4339317168363763
31730_prestress,pre,short,162334.54056757363,756.0,2.6718615625076287
31730_prestress,pre,short,170006.86061421948,1032.0,7.035918102615518
31730_prestress,pre,short,177396.3658931043,944.0,6.7739114610055084
31730_prestress,pre,short,204599.078930838,808.0,5.905007612612904
31730_prestress,pre,short,211902.61735967943,1265.0,5.279098182674282
31730_prestress,pre,short,219510.36420076343,639.0,4.693194864061351
31730_prestress,pre,short,226953.2844593068,704.0,4.078217715507647
31730_prestress,pre,short,233750.86374923558,522.0,3.774940214142434
31730_prestress,pre,short,240285.84746974593,781.0,3.6802593127575745
31730_prestress,pre,short,246883.1823105411,823.0,3.5310847347538936
31730_prestress,pre,short,253390.87408341403,580.0,2.5264384805320232
31730_prestress,pre,short,259569.84379431742,688.0,7.22218042896753
31730_prestress,pre,short,265888.75154755806,587.0,6.782556350763674
31730_prestress,pre,short,272164.4042875778,516.0,6.55048230565179
